CODIGO;MUNICIPIO;PIB;VALOREMPENHO
1;São José;37640.52;219245.72
2;Palmeiras;24001.57;23482.21
3;Mariana;29787.38;32595.51
4;Santo Afonso;42408.93;188893.41
5;Vila Nova;38675.58;47969.9
6;Santa Rita;10227.22;60498.42
7;Porto Feliz;29500.88;70199.45
8;Bela Vista;18486.43;34732.63
9;Monte Alto;18967.81;111614.43
10;Terra Roxa;24105.99;125851.88
11;Água Clara;21440.44;124383.25
12;Campo Verde;34542.74;150574.12
13;Nova Esperança;27610.38;47162.99
14;Luziânia;21216.75;124438.31
15;Serra Azul;24438.63;63491.44
16;Rio Bonito;23336.74;98100.29
17;Morro Grande;34940.79;154468.97
18;Sol Nascente;17948.42;49671.98
19;Vale do Sol;23130.68;90698.15
20;Ponte Nova;11459.04;50228.52
21;Horizonte Azul;5529.9;19712.09
22;Flor da Serra;26536.19;35847.71
23;Pedra Bonita;28644.36;98747.34
24;Cachoeira Grande;12578.35;62760.67
25;Serra Negra;42697.55;83608.13
26;Costa Verde;5456.34;15144.33
27;Rio Claro;20457.59;48019.48
28;Bom Retiro;18128.16;104670.1
29;Águas Mansas;35327.79;141609.4
30;Campo Limpo;34693.59;125285.24
31;Estrela Dalva;21549.47;39761.48
32;Porto Seguro;23781.63;90581.23
33;Barra Longa;11122.14;22116.39
34;Canavieiras;192.04;585.29
35;Jardim Tropical;16520.88;33805.53
36;Mirante do Vale;21563.49;86569.86
37;Santa Fé;32302.91;124847.07
38;Praia Grande;32023.8;86065.62
39;Ilha Bela;16126.73;57959.63
40;Fazenda Nova;16976.97;23095.6
41;Capim Dourado;9514.47;7260.62
42;Alto Alegre;5799.82;21222.05
43;Nova Aurora;2937.3;9546.26
44;Bela Floresta;39507.75;156156.24
45;Cantinho do Céu;14903.48;97986.17
46;Lagoa Serena;15619.26;68985.89
47;Porto Rico;7472.05;12185.17
48;Vila Real;27774.9;129862.22
49;Recanto Feliz;3861.02;3961.94
50;São Domingos;17872.6;41243.22
51;Solitude;11045.33;32005.36
52;Vale Encantado;23869.02;132950.78
53;Rio das Pedras;14891.95;28039.57
54;Paraíso Verde;8193.68;14423.68
55;Terra Prometida;19718.18;56242.58
56;Monte Belo;24283.32;48682.78
57;Brisas Suaves;20665.17;96918.69
58;Harmonia;23024.72;31776.48
59;Luz do Amanhecer;13656.78;17464.25
60;Sossego;16372.59;38365.4
61;Refúgio;13275.4;29908.83
62;Alvorada;16404.47;96692.84
63;São Francisco;11868.54;52507.98
64;Veredas;2737.17;8570.97
65;Esperança;21774.26;25298.35
66;Nova Vida;15982.19;68188.72
67;Santo Antônio;3698.02;5545.84
68;Amanhecer;24627.82;16816.94
69;Vila Pacífica;10927.02;52253.5
70;Renascer;20519.45;71313.58
71;São Lucas;27290.91;119569.34
72;Santa Clara;21289.83;74047.98
73;Liberdade;31394.01;134531.05
74;Bons Ventos;7651.74;15483.0
75;Vila Mariana;24023.42;34801.18
76;São Pedro;13151.9;52902.09
77;São Mateus;11292.03;20267.9
78;Vila do Sol;14211.5;27935.2
79;Jardim das Palmeiras;16884.47;39116.27
80;Santa Luzia;20561.65;62224.05
81;Boa Esperança;8348.5;20612.52
82;Nova Friburgo;29008.26;27197.36
83;Santa Esmeralda;24656.62;50165.68
84;Vale do Rio Doce;4637.56;463.76
85;Recanto das Águas;34882.52;137362.03
86;São José;38958.89;23255.09
87;Palmeiras;31787.8;42704.52
88;Mariana;18200.75;56026.42
89;Santo Afonso;9292.47;17568.86
90;Vila Nova;30544.52;162329.52
91;Santa Rita;15968.23;16937.74
92;Porto Feliz;32224.45;109581.7
93;Bela Vista;22082.75;64947.04
94;Monte Alto;29766.39;37144.28
95;Terra Roxa;23563.66;89186.45
96;Água Clara;27065.73;74232.65
97;Campo Verde;20105.0;83590.27
98;Nova Esperança;37858.7;160341.3
99;Luziânia;21269.12;132822.55
100;Serra Azul;24019.89;120214.55
